The prime minister of Canada is the official who serves as the primary minister of the Crown, chair of the Cabinet, and thus head of government of Canada. Twenty-four people (twenty-three men and one woman) have served as prime minister. Officially, the prime minister is appointed by the governor general of Canada, but by constitutional convention, the prime minister must have the confidence of the elected House of Commons. Normally, this is the leader of the party caucus with the greatest number of seats in the house. However, in a minority parliament the leader of an opposition party may be asked to form a government if the incumbent government resigns and the governor general is persuaded that they have the confidence of the House. By constitutional convention, a prime minister holds a seat in parliament and, since the early 20th century, this has more specifically meant the House of Commons. The 24th and current prime minister is Mark Carney, who assumed office on 14 March 2025. There are currently six living former prime ministers. The most recent former prime minister to die was Brian Mulroney, on 29 February 2024. == Model ==
The office is not outlined in any of the documents that constitute the written portion of the Constitution of Canada; executive authority is formally vested in the sovereign and exercised on the sovereign's behalf by the governor general. The prime ministership is part of Canada's constitutional convention tradition. The office was modelled after that which existed in the United Kingdom at the time of Confederation. John A. Macdonald was commissioned by the Viscount Monck on 24 May 1867 to form the first government of the Canadian Confederation. On 1 July 1867, the first ministry assumed office. == Term ==
When the prime minister begins their term is determined by the date that they are sworn in as prime minister or, if they do not take an oath as prime minister, the date they were sworn into another portfolio, as an oath of office as prime minister is not required. However, since 1957, all incoming prime ministers have sworn an oath as prime minister. Before 1920, prime ministers' resignations were accepted immediately by the governor general and the last day of the ministries were the date he died or the date of resignation. Since 1920, the outgoing prime minister has only formally resigned when the new government is ready to be formed. The Interpretation Act of 1967 states that "where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day". Thus, although the outgoing prime minister formally resigns only hours before the incoming ministry swears their oaths, both during the day, the ministries are effectively changed at midnight the night before. Some sources, including the Parliament of Canada, apply this convention as far back as 1917. Two prime ministers have died in office: John A. Macdonald (1867–1873, 1878–1891) and John Thompson (1892–1894), both of natural causes. All others have resigned, either after losing an election or upon retirement. == Prime ministers ==

Table:
No.,Portrait,Name (Birth–Death),Term of office,Term of office.1,Electoral mandates (Assembly),Political party,Political party.1,Riding,Cabinet,Ref. 1 (1 of 2),,John A. Macdonald (1815–1891),1 July 1867,5 November 1873,Title created (caretaker government)⁠ 1867 election (1st Parl. )⁠ 1872 election (2nd Parl. ),,Liberal–Conservative,"MP for Kingston, ON",1st,[2][6]
10 (1 of 3),,William Lyon Mackenzie King (1874–1950),Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng.,Minister of Labour; Chanak Crisis; lower tariffs; reinstated Crowsnest Pass Agreement; 1923 Imperial Conference; Halibut Treaty; Continued after 1925 with third party Progressive support until resigning after his request for an election was refused by Governor General Lord Byng. (9) (2 of 2),,Arthur Meighen (1874–1960),29 June 1926,25 September 1926,Appointment (15th Parl. ),,Conservative (Ldr. 1920),"MP for Portage la Prairie, MB",13th,[23][27]
(9) (2 of 2),,Arthur Meighen (1874–1960),Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair.,Appointed as a result of the King–Byng Affair. (10) (2 of 3),,William Lyon Mackenzie King (1874–1950),25 September 1926,7 August 1930,1926 election (16th Parl. ),,Liberal (Ldr. 1919),"MP for Prince Albert, SK",14th,[25][28]
(10) (2 of 3),,William Lyon Mackenzie King (1874–1950),"Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression. ","Balfour Declaration; Introduction of old age pensions; first Canadian envoys with full diplomatic status sent to foreign countries (USA, France, Japan); Great Depression." 11,,R. B. Bennett (1870–1947),7 August 1930,23 October 1935,1930 election (17th Parl. ),,Conservative (Ldr. 1927),"MP for Calgary West, AB",15th,[29][30]
11,,R. B. Bennett (1870–1947),"Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada. ","Minister of Justice, Minister of Finance; Great Depression; Imperial Preference; Statute of Westminster; Canadian Radio Broadcasting Commission; Canadian Wheat Board; Creation of the Bank of Canada." (10) (3 of 3),,William Lyon Mackenzie King (1874–1950),23 October 1935,15 November 1948,1935 election (18th Parl. )⁠ 1940 election (19th Parl. )⁠ 1945 election (20th Parl. ),,Liberal (Ldr. 1919),"MP for Prince Albert, SK (1935–1945) MP for Glengarry, ON (1945–1948)",16th,[LS][25][31]
(10) (3 of 3),,William Lyon Mackenzie King (1874–1950),Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms.,Creation of the Canadian Broadcasting Corporation; National Film Board of Canada; Unemployment Insurance Act of 1940; Nationalization of the Bank of Canada; Second World War; Japanese Canadian internment; Conscription Crisis of 1944; Canada's entry into the United Nations; Trans-Canada Airlines; Gouzenko Affair. First and to date only prime minister to serve three non-consecutive terms. 12,,Louis St. Laurent (1882–1973),15 November 1948,21 June 1957,Appointment (20th Parl. )⁠ 1949 election (21st Parl. )⁠ 1953 election (22nd Parl. ),,Liberal (Ldr. 1948),"MP for Quebec East, QC",17th,[32][33]
12,,Louis St. Laurent (1882–1973),"Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate. ","Minister of Justice, Secretary of State for External Affairs; Dominion of Newfoundland joins Confederation; right of appeal to Judicial Committee of the Privy Council ended; Canada's entrance into NATO; Suez Crisis; Creation of the United Nations Emergency Force; London Declaration; Newfoundland Act; Equalization; Trans-Canada Highway; St. Lawrence Seaway; Trans-Canada Pipeline; Pipeline Debate." 13,,John Diefenbaker (1895–1979),21 June 1957,22 April 1963,1957 election (23rd Parl. )⁠ 1958 election (24th Parl. )⁠ 1962 election (25th Parl. ),,Progressive Conservative (Ldr. 1956),"MP for Prince Albert, SK",18th,[34][35]
13,,John Diefenbaker (1895–1979),Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme.,Avro Arrow cancellation; Coyne Affair; Cuban Missile Crisis; NORAD; Establishment of Board of Broadcast Governors; Canadian Bill of Rights; Allowed status aboriginals to vote in federal elections 1960; Alouette 1 satellite programme. 14,,Lester B. Pearson (1897–1972),22 April 1963,20 April 1968,1963 election (26th Parl. )⁠ 1965 election (27th Parl. ),,Liberal (Ldr. 1958),"MP for Algoma East, ON",19th,[36][37]
14,,Lester B. Pearson (1897–1972),Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations.,Secretary of State for External Affairs; Bomarc missile program; Creation of a national system of universal healthcare; Canada Pension Plan; Canada Student Loans; Creation of a new Canadian flag; Auto Pact; Rejection of troop deployment to Vietnam; Royal Commission on Bilingualism and Biculturalism; Unification of the Armed Forces; Canadian Centennial Celebrations. 15 (1 of 2),,Pierre Trudeau (1919–2000),20 April 1968,4 June 1979,Appointment (27th Parl. )⁠ 1968 election (28th Parl. )⁠ 1972 election (29th Parl. )⁠ 1974 election (30th Parl. ),,Liberal (Ldr. 1968),"MP for Mount Royal, QC",20th,[*][38]
15 (1 of 2),,Pierre Trudeau (1919–2000),"Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail. ","Minister of Justice; ""Trudeaumania""; ""Just Society""; decriminalizing homosexuality and legalizing abortion; October Crisis and use of the War Measures Act; Official Languages Act; Establishment of relations with Communist China; Victoria Charter; Creation of Petro-Canada; Membership in the G7; Metrication of Canada; National Housing Act amendments; inflation and eventual state intervention; Creation of Via Rail." 16,,Joe Clark (b. 1939),4 June 1979,3 March 1980,1979 election (31st Parl. ),,Progressive Conservative (Ldr. 1976),"MP for Yellowhead, AB",21st,[*][39]
16,,Joe Clark (b. 1939),Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget.,Youngest Canadian PM; Freedom of Information Act; Canadian Caper; defeated in a motion of no confidence on first budget. (15) (2 of 2),,Pierre Trudeau (1919–2000),3 March 1980,30 June 1984,1980 election (32nd Parl. ),,Liberal (Ldr. 1968),"MP for Mount Royal, QC",22nd,[*][38]
(15) (2 of 2),,Pierre Trudeau (1919–2000),1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation.,1980 Quebec referendum; Access to Information Act; Patriation of the Canadian Constitution; Montreal Protocol; Canadian Charter of Rights and Freedoms; National Energy Program; Canada Health Act; Western alienation. 17,,John Turner (1929–2020),30 June 1984,17 September 1984,Appointment (32nd Parl. ),,Liberal (Ldr. 1984),Did not hold a seat in legislature,23rd,[*][40]
17,,John Turner (1929–2020),"Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada. ","Minister of Justice, Minister of Finance; Trudeau Patronage Appointments. Never sat in parliament as prime minister. First prime minister since Bowell not to have been born in Canada." 18,,Brian Mulroney (1939–2024),17 September 1984,25 June 1993,1984 election (33rd Parl. )⁠ 1988 election (34th Parl. ),,Progressive Conservative (Ldr. 1983),"MP for Manicouagan, QC (1984–1988) MP for Charlevoix, QC (1988–1993)",24th,[*][41]
18,,Brian Mulroney (1939–2024),"Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair. ","Cancellation of the National Energy Program; Meech Lake Accord; Petro-Canada privatization; Canada-US Free Trade Agreement; Introduction of the Goods and Services Tax; Charlottetown Accord; Sanctions against South Africa; Acid Rain treaty; Gulf War; Oka Crisis; Emergencies Act; Environmental Protection Act; Privatization of Air Canada, North American Free Trade Agreement; Nunavut Land Claims Agreement; Airbus affair." 19,,Kim Campbell (b. 1947),25 June 1993,4 November 1993,Appointment (34th Parl. ),,Progressive Conservative (Ldr. 1993),"MP for Vancouver Centre, BC",25th,[*][42]
