<s> The guest of honor at the most recent state dinner hosted by the President of the United States was William Ruto.<s><s> After acceding to the thrones of the Commonwealth realms in 1952, Queen Elizabeth II received a total of 113 state visits. She usually hosted one or two visiting heads of state each year. According to the palace, any visit that does not include a state banquet held by the Queen is not considered a state visit, except for the Papal visit in September 2010 which was specifically designated a state visit by the British government despite the missing of a state banquet. == List of visits ==

Table:
No.,Date,Country,Regime,Guests,Venue for state banquet
53,12–15 November 1985,Qatar,Monarchy,Emir Sheikh Khalifa bin Hamad Al Thani,Buckingham Palace
54,22–25 April 1986,Spain,Monarchy,King Juan Carlos I Queen Sofía,Windsor Castle
55,1–4 July 1986,West Germany,Republic,President Richard von Weizsäcker Mme Marianne von Weizsäcker,Buckingham Palace
56,24–27 March 1987,Saudi Arabia,Monarchy,King Fahd,Buckingham Palace
57,14–17 July 1987,Morocco,Monarchy,King Hassan II[11][12],Buckingham Palace
58,12–15 April 1988,Norway,Monarchy,King Olav V[e],Windsor Castle
59,12–15 July 1988,Turkey,Republic,President Kenan Evren,Buckingham Palace
60,8–11 November 1988,Senegal,Republic,President Abdou Diouf First Lady Elizabeth Diouf,Buckingham Palace
61,9–12 May 1989,Nigeria,Republic,President Ibrahim Babangida[3][13] First Lady Maryam Babangida,Buckingham Palace
62,18–21 July 1989,United Arab Emirates,Monarchy,Sheikh Zayed bin Sultan Al Nahyan,Buckingham Palace
1990s,1990s,1990s,1990s,1990s,1990s
63,3–6 April 1990,India,Republic,President R. Venkataraman[3] First Lady Janaki Venkataraman,Buckingham Palace
64,23–26 October 1990,Italy,Republic,President Francesco Cossiga,Buckingham Palace
65,23–26 April 1991,Poland,Republic,President Lech Wałęsa[14][15] First Lady Danuta Wałęsa,Windsor Castle
66,23–26 July 1991,Egypt,Republic,President Hosni Mubarak[16][17] First Lady Suzanne Mubarak,Buckingham Palace
67,3–6 November 1992,Brunei,Monarchy,Sultan Hassanal Bolkiah[3] Queen Saleha,Buckingham Palace
68,27–30 April 1993,Portugal,Republic,President Mário Soares[18][19] First Lady Maria Barroso,Buckingham Palace
69,9–12 November 1993,Malaysia,Monarchy,Yang di-Pertuan Agong Azlan Shah of Perak[3] Raja Permaisuri Agong Tuanku Bainun,Buckingham Palace
70,17–20 May 1994,Zimbabwe,Republic,President Robert Mugabe[3],Buckingham Palace
71,5–8 July 1994,Norway,Monarchy,King Harald V Queen Sonja,Holyrood Palace
72,23–26 May 1995,Kuwait,Monarchy,Emir Sheikh Jaber Al-Ahmad Al-Sabah,Buckingham Palace
73,17–20 October 1995,Finland,Republic,President Martti Ahtisaari First Lady Eeva Ahtisaari,Buckingham Palace
74,14–17 May 1996,France,Republic,President Jacques Chirac Mme Bernadette Chirac,Buckingham Palace
75,9–12 July 1996,South Africa,Republic,President Nelson Mandela[3],Buckingham Palace
76,25–28 February 1997,Israel,Republic,President Ezer Weizman Mme Reuma Weizman,Buckingham Palace
77,2–5 December 1997,Brazil,Republic,President Fernando Henrique Cardoso First Lady Ruth Cardoso,Buckingham Palace
78,26–29 May 1998,Japan,Monarchy,Emperor Akihito[20][21] Empress Michiko,Buckingham Palace
79,1–4 December 1998,Germany,Republic,President Roman Herzog Mme Christiane Herzog,Windsor Castle
80,22–25 June 1999,Hungary,Republic,President Árpád Göncz[
