<s><s> Walt Disney Animation Studios is an American animation studio headquartered in Burbank, California, the original feature film division of The Walt Disney Company. The studio's films are also often called "Disney Classics" (or "Classic Animated Features" in the case of the films with traditional hand drawn animation), or "Disney Animated Canon". Originally known as Walt Disney Productions (1937–1985) and Walt Disney Feature Animation (1986–2007), the studio has produced 63 films, beginning with Snow White and the Seven Dwarfs in 1937, one of the first full-length animated feature films, and the first produced in the United States. The studio's most recent release is Moana 2 in 2024, with their upcoming slate of films including Zootopia 2 in 2025, an untitled film in 2026 and Frozen III in 2027. == Released films ==

Table:
Film,Release date,Directed by,Written by,Based on/Inspired by,Produced by,Composed by
Melody Time,"May 27, 1948",Clyde Geronimi Wilfred Jackson Hamilton Luske Jack Kinney,"Winston Hibler, Erdman Penner, Harry Reeves, Homer Brightman, Ken Anderson, Ted Sears, Joe Rinaldi, Billy Cottrell, Art Scott, Jesse Marsh, Bob Moore & John Walbridge","The life of Johnny Appleseed, Little Toot by Hardie Gramatky, ""Trees"" by Joyce Kilmer & Pecos Bill",Walt Disney,"Eliot Daniel, Paul Smith and Ken Darby"
The Adventures of Ichabod and Mr. Walt Disney Animation Studios has announced several upcoming projects, but details are scarce. Toad,"October 5, 1949",Ben Sharpsteen James Algar Clyde Geronimi Jack Kinney,"Erdman Penner, Winston Hibler, Joe Rinaldi, Ted Sears, Homer Brightman & Harry Reeves","The Wind in the Willows by Kenneth Grahame ""The Legend of Sleepy Hollow"" by Washington Irving",Walt Disney,Oliver Wallace
Cinderella,"February 15, 1950",Clyde Geronimi Wilfred Jackson Hamilton Luske,"Bill Peet, Ted Sears, Homer Brightman, Ken Anderson, Erdman Penner, Winston Hibler, Harry Reeves & Joe Rinaldi","""Cinderella"" by Charles Perrault",Walt Disney,Oliver Wallace
Alice in Wonderland,"July 28, 1951",Clyde Geronimi Wilfred Jackson Hamilton Luske,"Winston Hibler, Ted Sears, Bill Peet, Erdman Penner, Joe Rinaldi, Milt Banta, Billy Cottrell, Dick Kelsey, Joe Grant, Dick Huemer, Del Connell, Tom Oreb & John Walbridge",Alice's Adventures in Wonderland & Through the Looking-Glass by Lewis Carroll,Walt Disney,Oliver Wallace
Peter Pan,"February 5, 1953",Clyde Geronimi Wilfred Jackson Hamilton Luske,"Ted Sears, Erdman Penner, Bill Peet, Winston Hibler, Joe Rinaldi, Milt Banta, Ralph Wright & Billy Cottrell",Peter Pan by J. M. Barrie,Walt Disney,Oliver Wallace
Lady and the Tramp,"June 22, 1955",Clyde Geronimi Wilfred Jackson Hamilton Luske,Erdman Penner Joe Rinaldi Ralph Wright Don DaGradi,"Happy Dan, the Cynical Dog & Lady and the Tramp: The Story of Two Dogs by Ward Greene",Walt Disney,Oliver Wallace
Sleeping Beauty,"January 29, 1959",Supervising Director: Clyde GeronimiSequence Directors: Eric Larson Wolfgang Reitherman Les Clark,"Erdman Penner, Joe Rinaldi, Winston Hibler, Bill Peet, Ted Sears, Ralph Wright & Milt Banta","""Sleeping Beauty"" by Charles Perrault, ""Little Briar Rose"" by Brothers Grimm & The Sleeping Beauty by Pyotr Ilyich Tchaikovsky",Walt Disney,George Bruns
One Hundred and One Dalmatians,"January 25, 1961",Wolfgang Reitherman Hamilton Luske Clyde Geronimi,Bill Peet,The Hundred and One Dalmatians by Dodie Smith,Walt Disney,George Bruns
The Sword in the Stone,"December 25, 1963",Wolfgang Reitherman,Bill Peet,The Sword in the Stone by T. H. White,Walt Disney,George Bruns
The Jungle Book,"October 18, 1967",Wolfgang Reitherman,"Larry Clemmons, Ralph Wright, Ken Anderson & Vance Gerry",the Mowgli stories from The Jungle Book by Rudyard Kipling,Walt Disney,George Bruns
