<s> The drama series that won the most recent Primetime Emmy Award for Outstanding Drama Series is Shōgun.<s><s> 

Table:
Primetime Emmy Award for Outstanding Drama Series,Primetime Emmy Award for Outstanding Drama Series.1
Awarded for,Outstanding Drama Series
Country,United States
Presented by,Academy of Television Arts & Sciences
First award,1951
Currently held by,Shōgun (2024)
Website,emmys.com
The Primetime Emmy Award for Outstanding Drama Series is an award presented since 1951 by the Academy of Television Arts & Sciences (ATAS). The award goes to the producers of the series. The award is often cited as one of the "main awards" at the Emmys ceremonies. == History ==
Since its institution in 1951 the award has changed names many times in its history. It was first called Best Dramatic Show from 1951 to 1954, then Best Dramatic Series in 1955 and 1956. In 1957, no specific award for drama was given, but in 1958 the category was split into two separate categories, Best Dramatic Anthology Series, and Best Dramatic Series with Continuing Characters with a winner selected from each category. The following year, the category was differently split into two separate categories, Best Dramatic Series – Less Than One Hour. In 1960, the name was changed yet again to Outstanding Program Achievement in the Field of Drama; this name was kept from 1960 to 1964. In 1966, it had its sixth name change to Outstanding Dramatic Series or Outstanding Series-Drama; this was used from 1966 until recently, when it became Outstanding Drama Series. In 1988, Rumpole of the Bailey (PBS) was initially nominated in the Outstanding Miniseries category but the Academy ruled that the nomination was not valid a few days later and later allowed the program to compete in the Outstanding Drama Series category. Since 2000, every single winner has been a serial drama: The West Wing (2000–2003), The Sopranos (2004, 2007), Lost (2005), 24 (2006), Mad Men (2008–2011), Homeland (2012), Breaking Bad (2013–2014), Game of Thrones (2015–2016, 2018–2019), The Handmaid's Tale (2017), Succession (2020, 2022-2023), and The Crown (2021). Since the advent of Hill Street Blues in 1981, every winner has had some serialized arcs with the exception of Law & Order. [A] The majority of these shows have won between their first and fifth seasons. Only one show have been exceeded with more than sixth seasons onwards who have won multiple times is Game of Thrones with sixth, seventh, and eighth; the remaining shows within more than sixth seasons who also won one are The Sopranos with sixth and Law & Order with seventh. Since 1967, they are the only non-US series or television series from outside the United States to be nominated including The Avengers, The Forsyte Saga, The First Churchills, Elizabeth R, The Six Wives of Henry VIII, Upstairs, Downstairs, Rumpole of the Bailey, Downton Abbey, Bodyguard, Killing Eve, Squid Game, and Slow Horses; most non-US series are entirely United Kingdom, Squid Game is the only Asia and South Korea to do so. Elizabeth R and Upstairs, Downstairs are the only two to win, while the latter is the only one to win multiple times. Game of Thrones, Hill Street Blues, L.A. Law, Mad Men, and The West Wing share the record for most wins in the category with four. Law & Order holds the record for most nominations in the category with eleven, while Better Call Saul holds the record for most nominations without a win with seven. Since 2022, Squid Game (Korean) and Shōgun (Japanese) are the only non-English language series to be nominated in that category; Shōgun being the first to win. Since 2023, The Last of Us and Fallout are the only series based on their respective video games to be nominated in that category. == Winners and nominations ==
The following tables, divided by decade, display the winners and nominees of the "Drama Series" award, according to the Primetime Emmy Awards database:


=== 1950s ==

Table:
Year,Program,Network,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
1955 (7th) [note 3],Best Dramatic Series[13],Best Dramatic Series[13],Best Dramatic Series[13],Best Dramatic Series[13],Best Dramatic Series[13],Best Dramatic Series[13]
1955 (7th) [note 3],The United States Steel Hour,ABC,,,,
1955 (7th) [note 3],Four Star Playhouse,CBS,,,,
1955 (7th) [note 3],Medic,NBC,,,,
1955 (7th) [note 3],The Philco-Goodyear Television Playhouse,NBC,,,,
1955 (7th) [note 3],Studio One,CBS,,,,
1955 (7th) [note 3],Best Mystery or Intrigue Series[14],Best Mystery or Intrigue Series[14],Best Mystery or Intrigue Series[14],Best Mystery or Intrigue Series[14],Best Mystery or Intrigue Series[14],Best Mystery or Intrigue Series[14]
1955 (7th) [note 3],Dragnet,NBC,,,,
1955 (7th) [note 3],Foreign Intrigue,NBC,,,,
1955 (7th) [note 3],I Led 3 Lives,Syndicated,,,,
1955 (7th) [note 3],Racket Squad,Syndicated,,,,
1955 (7th) [note 3],Waterfront,Syndicated,,,,
1955 (7th) [note 3],Best Western or Adventure Series[15],Best Western or Adventure Series[15],Best Western or Adventure Series[15],Best Western or Adventure Series[15],Best Western or Adventure Series[15],Best Western or Adventure Series[15]
1955 (7th) [note 3],Stories of the Century,Syndicated,,,,
1955 (7th) [note 3],The Adventures of Wild Bill Hickok,Syndicated,,,,
1955 (7th) [note 3],Annie Oakley,Syndicated,,,,
1955 (7th) [note 3],Death Valley Days,CBS,,,,
1955 (7th) [note 3],The Roy Rogers Show,NBC,,,,
1956 (8th) [note 4],,,,,,
1956 (8th) [note 4],Best Dramatic Series[16],Best Dramatic Series[16],Best Dramatic Series[16],Best Dramatic Series[16],Best Dramatic Series[16],Best Dramatic Series[16]
1956 (8th) [note 4],Producers' Showcase,NBC,,,,
1956 (8th) [note 4],Alcoa-Goodyear Theatre,NBC,,,,
1956 (8th) [note 4],Climax!,CBS,,,,
1956 (8th) [note 4],Studio One,CBS,,,,
1956 (8th) [note 4],The United States Steel Hour,CBS,,,,
1956 (8th) [note 4],Best Action or Adventure Series[17],Best Action or Adventure Series[17],Best Action or Adventure Series[17],Best Action or Adventure Series[17],Best Action or Adventure Series[17],Best Action or Adventure Series[17]
1956 (8th) [note 4],Disneyland,ABC,,,,
1956 (8th) [note 4],Alfred Hitchcock Presents,CBS,,,,
1956 (8th) [note 4],Dragnet,NBC,,,,
1956 (8th) [note 4],Gunsmoke,CBS,,,,
1956 (8th) [note 4],The Lineup,CBS,,,,
1957 (9th) [note 5],,,,,,
1957 (9th) [note 5],Best Series – Half Hour or Less[18],Best Series – Half Hour or Less[18],Best Series – Half Hour or Less[18],Best Series – Half Hour or Less[18],Best Series – Half Hour or Less[18],Best Series – Half Hour or Less[18]
1957 (9th) [note 5],The Phil Silvers Show (comedy),CBS,,,,
1957 (9th) [note 5],Alfred Hitchcock Presents (anthology),CBS,,,,
1957 (9th) [note 5],Father Knows Best (comedy),NBC,,,,
1957 (9th) [note 5],The Jack Benny Program (comedy),CBS,,,,
1957 (9th) [note 5],Person to Person (interview),CBS,,,,
1957 (9th) [note 5],Best Series – One Hour or More[19],Best Series – One Hour or More[19],Best Series – One Hour or More[19],Best Series – One Hour or More[19],Best Series – One Hour or More[19],Best Series – One Hour or More[19]
1957 (9th) [note 5],Caesar's Hour (comedy),NBC,,,,
1957 (9th) [note 5],Climax! (drama),CBS,,,,
1957 (9th) [note 5],The Ed Sullivan Show (musical variety),CBS,,,,
1957 (9th) [note 5],Omnibus (educational),CBS,,,,
1957 (9th) [note 5],The Perry Como Show (musical variety),NBC,,,,
1958 (10th) [note 6],,,,,,
1958 (10th) [note 6],Best Dramatic Series with Continuing Characters[20],Best Dramatic Series with Continuing Characters[20],Best Dramatic Series with Continuing Characters[20],Best Dramatic Series with Continuing Characters[20],Best Dramatic Series with Continuing Characters[20],Best Dramatic Series with Continuing Characters[20]
1958 (10th) [note 6],Gunsmoke,CBS,,,,
1958 (10th) [note 6],Lassie,CBS,,,,
1958 (10th) [note 6],Maverick,ABC,,,,
1958 (10th) [note 6],Perry Mason,CBS,,,,
1958 (10th) [note 6],Wagon Train,NBC,,,,
1958 (10th) [note 6],Best Dramatic Anthology Series[20],Best Dramatic Anthology Series[20],Best Dramatic Anthology Series[20],Best Dramatic Anthology Series[20],Best Dramatic Anthology Series[20],Best Dramatic Anthology Series[20]
1958 (10th) [note 6],Playhouse 90,CBS,,,,
1958 (10th) [note 6],Alfred Hitchcock Presents,CBS,,,,
1958 (10th) [note 6],Climax!,CBS,,,,
1958 (10th) [note 6],Hallmark Hall of Fame,NBC,,,,
1958 (10th) [note 6],Studio One,CBS,,,,
1959 (11th) [note 7],,,,,,
1959 (11th) [note 7],Best Dramatic Series – Less Than One Hour[21],Best Dramatic Series – Less Than One Hour[21],Best Dramatic Series – Less Than One Hour[21],Best Dramatic Series – Less Than One Hour[21],Best Dramatic Series – Less Than One Hour[21],Best Dramatic Series – Less Than One Hour[21]
1959 (11th) [note 7],Alcoa-Goodyear Theatre,NBC,,,,
1959 (11th) [note 7],Alfred Hitchcock Presents,CBS,,,,
1959 (11th) [note 7],General Electric Theater,CBS,,,,
1959 (11th) [note 7],The Loretta Young Show,NBC,,,,
1959 (11th) [note 7],Naked City,ABC,,,,
1959 (11th) [note 7],Peter Gunn,NBC,,,,
1959 (11th) [note 7],Best Dramatic Series – One Hour or Longer[22],Best Dramatic Series – One Hour or Longer[22],Best Dramatic Series – One Hour or Longer[22],Best Dramatic Series – One Hour or Longer[22],Best Dramatic Series – One Hour or Longer[22],Best Dramatic Series – One Hour or Longer[22]
1959 (11th) [note 7],Playhouse 90,CBS,,,,
1959 (11th) [note 7],The United States Steel Hour,CBS,,,,
1959 (11th) [note 7],Best Western Series[23],Best Western Series[23],Best Western Series[23],Best Western Series[23],Best Western Series[23],Best Western Series[23]
1959 (11th) [note 7],Maverick,ABC,,,,
1959 (11th) [note 7],Gunsmoke,CBS,,,,
1959 (11th) [note 7],Have Gun – Will Travel,CBS,,,,
1959 (11th) [note 7],The Rifleman,ABC,,,,
1959 (11th
